CVE_INEGI,CVE_ENT,CVE_MUN,NOM_ENT,NOM_MUN,Tarifa,Consumo 2010,Consumo 2011,Consumo 2012,Consumo 2013,Consumo 2014,Consumo 2015,Consumo 2016,Usuarios 2010,Usuarios 2011,Usuarios 2012,Usuarios 2013,Usuarios 2014,Usuarios 2015,Usuarios 2016
20346.0,20,346,Oaxaca                                            ,San Sebastian Nicananduta                         ,1,301734.0,305258.0,324383.0,316918.0,303519.0,294828.0,273356.0,546.0,568.0,579.0,578.0,623.0,626.0,650.0
20346.0,20,346,Oaxaca                                            ,San Sebastian Nicananduta                         ,DAC,28.0,0.0,0.0,0.0,806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20347.0,20,347,Oaxaca                                            ,San Sebastian Rio Hondo                           ,1,513955.0,506701.0,529532.0,530967.0,532887.0,466763.0,456860.0,914.0,953.0,931.0,956.0,891.0,952.0,975.0
20347.0,20,347,Oaxaca                                            ,San Sebastian Rio Hondo                           ,DAC,15499.0,0.0,678.0,1702.0,3974.0,4453.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
20348.0,20,348,Oaxaca                                            ,San Sebastian Tecomaxtlahuaca                     ,1,1475368.0,1467752.0,1469079.0,1495717.0,1497784.0,1490403.0,1431242.0,2894.0,2921.0,2980.0,3276.0,3320.0,3344.0,3400.0
20348.0,20,348,Oaxaca                                            ,San Sebastian Tecomaxtlahuaca                     ,DAC,14258.0,15413.0,15760.0,14075.0,15767.0,33680.0,20658.0,4.0,4.0,4.0,3.0,5.0,7.0,6.0
20349.0,20,349,Oaxaca                                            ,San Sebastian Teitipac                            ,1,449183.0,545303.0,537180.0,558729.0,554831.0,523556.0,509393.0,612.0,651.0,676.0,686.0,697.0,722.0,749.0
20349.0,20,349,Oaxaca                                            ,San Sebastian Teitipac                            ,DAC,4833.0,8922.0,2866.0,2162.0,4919.0,6990.0,14763.0,2.0,4.0,0.0,2.0,1.0,2.0,3.0
20350.0,20,350,Oaxaca                                            ,San Sebastian Tutla                               ,1,6537719.0,6581845.0,6399653.0,6589100.0,6500682.0,6620009.0,6853708.0,5506.0,5654.0,5661.0,5756.0,5877.0,5985.0,6033.0
20350.0,20,350,Oaxaca                                            ,San Sebastian Tutla                               ,DAC,232235.0,183904.0,165407.0,157102.0,143453.0,81963.0,111231.0,55.0,42.0,39.0,41.0,18.0,23.0,25.0
